feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,min_rank_xxlarge,avg_rank,max_rank,min_rank_overall
legs0_segments2_seatsAvailable,144.0,161.0,147.0,9999.0,9999.0,4090.0,9999.0,144.0
both_legs_direct,31.0,12.0,9999.0,9999.0,9999.0,6008.0,9999.0,12.0
legs1_is_min_transfers,9999.0,40.0,9999.0,5.0,9999.0,6008.4,9999.0,5.0
legs1_segments2_baggageAllowance_quantity,18.0,9999.0,9999.0,60.0,9999.0,6015.0,9999.0,18.0
legs0_segments1_baggageAllowance_weightMeasurementType,131.0,7.0,9999.0,9999.0,9999.0,6027.0,9999.0,7.0
legs0_segments1_cabinClass,129.0,22.0,9999.0,9999.0,9999.0,6029.6,9999.0,22.0
legs1_segments2_duration_rank,9999.0,9999.0,55.0,136.0,9999.0,6037.6,9999.0,55.0
legs0_segments2_duration,104.0,126.0,9999.0,9999.0,9999.0,6045.4,9999.0,104.0
legs0_segments2_aircraft_code,131.0,124.0,9999.0,9999.0,9999.0,6050.4,9999.0,124.0
legs1_segments2_marketingCarrier_code,9999.0,9999.0,145.0,133.0,9999.0,6055.0,9999.0,133.0
legs1_segments2_seatsAvailable,9999.0,164.0,9999.0,116.0,9999.0,6055.4,9999.0,116.0
legs0_segments2_arrivalTo_airport_city_iata,9999.0,159.0,9999.0,150.0,9999.0,6061.2,9999.0,150.0
legs1_segments2_aircraft_code,9999.0,167.0,154.0,9999.0,9999.0,6063.6,9999.0,154.0
legs1_segments1_marketingCarrier_code_in_ff,9999.0,23.0,9999.0,9999.0,9999.0,8003.8,9999.0,23.0
legs1_segments2_cabinClass,9999.0,9999.0,25.0,9999.0,9999.0,8004.2,9999.0,25.0
legs1_segments2_arrivalTo_airport_city_iata,9999.0,9999.0,36.0,9999.0,9999.0,8006.4,9999.0,36.0
legs1_segments2_marketingCarrier_code_in_ff,9999.0,9999.0,9999.0,40.0,9999.0,8007.2,9999.0,40.0
legs1_segments2_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,45.0,9999.0,8008.2,9999.0,45.0
legs1_segments2_departureFrom_airport_iata,9999.0,9999.0,9999.0,99.0,9999.0,8019.0,9999.0,99.0
legs1_segments2_arrivalTo_airport_iata,9999.0,9999.0,135.0,9999.0,9999.0,8026.2,9999.0,135.0
legs1_segments2_baggageAllowance_weightMeasurementType,9999.0,9999.0,9999.0,135.0,9999.0,8026.2,9999.0,135.0
legs0_segments2_duration_rank,9999.0,138.0,9999.0,9999.0,9999.0,8026.8,9999.0,138.0
legs0_segments2_marketingCarrier_code,9999.0,141.0,9999.0,9999.0,9999.0,8027.4,9999.0,141.0
legs0_segments2_operatingCarrier_code,9999.0,145.0,9999.0,9999.0,9999.0,8028.2,9999.0,145.0
legs0_segments2_departureFrom_airport_iata,9999.0,151.0,9999.0,9999.0,9999.0,8029.4,9999.0,151.0
legs1_segments2_operatingCarrier_code,9999.0,9999.0,153.0,9999.0,9999.0,8029.8,9999.0,153.0
legs0_segments2_baggageAllowance_weightMeasurementType,9999.0,153.0,9999.0,9999.0,9999.0,8029.8,9999.0,153.0
legs0_is_direct,9999.0,156.0,9999.0,9999.0,9999.0,8030.4,9999.0,156.0
legs0_num_transfers,9999.0,166.0,9999.0,9999.0,9999.0,8032.4,9999.0,166.0
legs1_is_direct,9999.0,170.0,9999.0,9999.0,9999.0,8033.2,9999.0,170.0
legs1_segments3_cabinClass,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_baggageAllowance_weightMeasurementType,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_baggageAllowance_quantity,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_arrivalTo_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_arrivalTo_airport_city_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_aircraft_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
bySelf,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_duration_rank,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_flightNumber,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
is_round_trip,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_operatingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_marketingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_marketingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_seatsAvailable,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
pricingInfo_passengerCount,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_aircraft_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
has_corporate_tariff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_departureFrom_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_arrivalTo_airport_city_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_all_segments_carrier_same,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_duration,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments2_cabinClass,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_baggageAllowance_quantity,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_baggageAllowance_weightMeasurementType,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments1_baggageAllowance_weightMeasurementType,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_cabinClass,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_departureFrom_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_duration,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments2_marketingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_duration_rank,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_marketingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_marketingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_operatingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_seatsAvailable,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_num_transfers,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments2_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_arrivalTo_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_flightNumber,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_all_segments_carrier_same,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
