feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,min_rank_xxlarge,avg_rank,max_rank,min_rank_overall
legs0_segments0_marketingCarrier_code,29.0,28.0,40.0,13.0,12.0,24.4,40.0,12.0
legs0_segments0_cabinClass,25.0,10.0,18.0,11.0,59.0,24.6,59.0,10.0
legs0_segments0_aircraft_code,24.0,25.0,24.0,22.0,32.0,25.4,32.0,22.0
legs0_main_carrier,28.0,24.0,41.0,28.0,7.0,25.6,41.0,7.0
legs1_arrivalAt_hour,37.0,32.0,21.0,21.0,17.0,25.6,37.0,17.0
is_popular_route,14.0,34.0,19.0,25.0,37.0,25.8,37.0,14.0
total_fees,35.0,21.0,31.0,32.0,11.0,26.0,35.0,11.0
baggage_total_rank,48.0,31.0,15.0,29.0,8.0,26.2,48.0,8.0
tax_rate,28.0,31.0,26.0,23.0,24.0,26.4,31.0,23.0
unmatched_duration,19.0,19.0,29.0,33.0,37.0,27.4,37.0,19.0
unmatched_duration_rank,31.0,25.0,27.0,29.0,27.0,27.8,31.0,25.0
searchRoute,13.0,16.0,30.0,38.0,43.0,28.0,43.0,13.0
has_baggage,4.0,3.0,53.0,70.0,12.0,28.4,70.0,3.0
legs1_segments0_marketingCarrier_code,15.0,26.0,20.0,54.0,30.0,29.0,54.0,15.0
legs0_segments0_duration_rank,35.0,27.0,25.0,24.0,34.0,29.0,35.0,24.0
legs1_max_duration_cabin,78.0,20.0,12.0,18.0,18.0,29.2,78.0,12.0
miniRules1_statusInfos,5.0,32.0,31.0,33.0,45.0,29.2,45.0,5.0
has_fees,15.0,4.0,69.0,18.0,45.0,30.2,69.0,4.0
legs0_departureAt_weekday,26.0,36.0,33.0,30.0,29.0,30.8,36.0,26.0
isAccess3D,12.0,21.0,30.0,30.0,63.0,31.2,63.0,12.0
legs1_segments0_operatingCarrier_code,21.0,48.0,26.0,19.0,43.0,31.4,48.0,19.0
nationality,8.0,30.0,34.0,39.0,46.0,31.4,46.0,8.0
legs0_arrivalAt_weekday,27.0,34.0,32.0,32.0,33.0,31.6,34.0,27.0
days_between_departure_arrival,45.0,38.0,28.0,27.0,22.0,32.0,45.0,22.0
miniRules0_statusInfos,17.0,45.0,46.0,23.0,33.0,32.8,46.0,17.0
legs0_segments0_duration,18.0,21.0,37.0,44.0,46.0,33.2,46.0,18.0
legs1_segments0_seatsAvailable,49.0,41.0,31.0,28.0,19.0,33.6,49.0,19.0
legs0_max_duration_cabin,13.0,9.0,129.0,7.0,13.0,34.2,129.0,7.0
legs0_segments0_arrivalTo_airport_iata,30.0,37.0,39.0,46.0,26.0,35.6,46.0,26.0
legs1_mean_cabin,148.0,8.0,2.0,15.0,6.0,35.8,148.0,2.0
legs0_segments0_departureFrom_airport_iata,23.0,33.0,41.0,42.0,41.0,36.0,42.0,23.0
legs0_duration_rank,33.0,39.0,34.0,35.0,39.0,36.0,39.0,33.0
legs0_duration,18.0,24.0,32.0,42.0,65.0,36.2,65.0,18.0
legs1_departureAt_day_period,53.0,27.0,13.0,16.0,74.0,36.6,74.0,13.0
legs0_segments0_baggageAllowance_weightMeasurementType,7.0,16.0,14.0,27.0,124.0,37.6,124.0,7.0
legs1_duration,60.0,33.0,25.0,24.0,48.0,38.0,60.0,24.0
legs0_segments0_operatingCarrier_code,30.0,38.0,33.0,29.0,62.0,38.4,62.0,29.0
legs0_segments0_arrivalTo_airport_city_iata,29.0,35.0,42.0,56.0,31.0,38.6,56.0,29.0
legs1_segments0_aircraft_code,43.0,49.0,36.0,31.0,35.0,38.8,49.0,31.0
total_fees_rank,46.0,44.0,49.0,37.0,19.0,39.0,49.0,19.0
legs0_departureAt_business_time,52.0,58.0,53.0,26.0,15.0,40.8,58.0,15.0
legs1_arrivalAt_day_period,24.0,41.0,47.0,84.0,20.0,43.2,84.0,20.0
legs0_matched_duration_sum_rank,58.0,42.0,40.0,36.0,41.0,43.4,58.0,36.0
miniRules0_monetaryAmount,41.0,36.0,65.0,69.0,9.0,44.0,69.0,9.0
legs1_segments0_duration,66.0,46.0,43.0,26.0,45.0,45.2,66.0,26.0
legs1_segments0_cabinClass,119.0,22.0,9.0,51.0,26.0,45.4,119.0,9.0
legs1_segments0_duration_rank,75.0,54.0,38.0,34.0,31.0,46.4,75.0,31.0
legs1_matched_duration_sum_rank,23.0,72.0,59.0,48.0,40.0,48.4,72.0,23.0
totalPrice,42.0,51.0,51.0,50.0,49.0,48.6,51.0,42.0
legs1_segments0_arrivalTo_airport_city_iata,49.0,62.0,42.0,66.0,25.0,48.8,66.0,25.0
all_matched_duration_sum,56.0,53.0,41.0,53.0,44.0,49.4,56.0,41.0
legs1_segments0_departureFrom_airport_iata,67.0,48.0,50.0,61.0,23.0,49.8,67.0,23.0
legs1_departureAt_weekday,72.0,62.0,45.0,43.0,28.0,50.0,72.0,28.0
legs1_duration_rank,67.0,61.0,46.0,41.0,38.0,50.6,67.0,38.0
legs0_departureAt_day_period,78.0,73.0,34.0,62.0,10.0,51.4,78.0,10.0
legs1_arrivalAt_weekday,76.0,63.0,48.0,40.0,30.0,51.4,76.0,30.0
legs0_matched_duration_sum,43.0,47.0,52.0,58.0,62.0,52.4,62.0,43.0
is_max_duration_cabin_same,21.0,30.0,131.0,62.0,21.0,53.0,131.0,21.0
legs0_segments1_flightNumber,31.0,40.0,82.0,79.0,34.0,53.2,82.0,31.0
legs0_arrivalAt_business_time,55.0,59.0,55.0,49.0,50.0,53.6,59.0,49.0
is_cheapest,20.0,44.0,17.0,102.0,87.0,54.0,102.0,17.0
legs1_segments0_arrivalTo_airport_iata,62.0,63.0,37.0,60.0,49.0,54.2,63.0,37.0
sex,57.0,66.0,54.0,47.0,47.0,54.2,66.0,47.0
legs1_arrivalAt_business_time,45.0,46.0,69.0,64.0,52.0,55.2,69.0,45.0
is_legs0_legs1_cabin_same,50.0,68.0,58.0,54.0,53.0,56.6,68.0,50.0
legs1_departureAt_business_time,82.0,66.0,43.0,38.0,56.0,57.0,82.0,38.0
legs0_arrivalAt_day_period,72.0,59.0,77.0,55.0,42.0,61.0,77.0,42.0
n_ff_programs,64.0,67.0,62.0,59.0,54.0,61.2,67.0,54.0
legs1_arrivalAt_is_weekend,100.0,45.0,44.0,44.0,80.0,62.6,100.0,44.0
legs1_segments1_duration,63.0,82.0,95.0,56.0,32.0,65.6,95.0,32.0
legs1_segments1_marketingCarrier_code,14.0,31.0,141.0,9.0,135.0,66.0,141.0,9.0
legs1_segments0_operatingCarrier_code_in_ff,84.0,58.0,62.0,49.0,81.0,66.8,84.0,49.0
legs1_segments1_flightNumber,59.0,73.0,80.0,49.0,75.0,67.2,80.0,49.0
legs1_matched_duration_sum,91.0,79.0,66.0,65.0,59.0,72.0,91.0,59.0
legs0_segments1_baggageAllowance_quantity,35.0,53.0,125.0,22.0,125.0,72.0,125.0,22.0
legs0_segments1_duration,34.0,42.0,86.0,92.0,116.0,74.0,116.0,34.0
has_frequentFlyer,71.0,83.0,63.0,81.0,82.0,76.0,83.0,63.0
legs0_segments1_aircraft_code,53.0,64.0,83.0,87.0,106.0,78.6,106.0,53.0
legs0_segments1_marketingCarrier_code,34.0,71.0,123.0,35.0,133.0,79.2,133.0,34.0
legs1_segments1_arrivalTo_airport_iata,59.0,92.0,101.0,22.0,134.0,81.6,134.0,22.0
legs0_segments1_arrivalTo_airport_city_iata,44.0,65.0,92.0,100.0,113.0,82.8,113.0,44.0
legs0_segments1_duration_rank,53.0,76.0,93.0,97.0,105.0,84.8,105.0,53.0
legs1_segments1_duration_rank,39.0,98.0,88.0,91.0,109.0,85.0,109.0,39.0
legs1_segments0_marketingCarrier_code_in_ff,136.0,39.0,60.0,143.0,58.0,87.2,143.0,39.0
legs0_segments1_arrivalTo_airport_iata,51.0,71.0,100.0,101.0,120.0,88.6,120.0,51.0
legs1_segments1_baggageAllowance_quantity,63.0,128.0,108.0,32.0,115.0,89.2,128.0,32.0
legs0_segments1_seatsAvailable,47.0,74.0,102.0,114.0,114.0,90.2,114.0,47.0
legs0_arrivalAt_is_weekend,109.0,109.0,71.0,72.0,101.0,92.4,109.0,71.0
legs1_segments1_seatsAvailable,110.0,88.0,103.0,37.0,129.0,93.4,129.0,37.0
legs0_segments1_departureFrom_airport_iata,19.0,73.0,117.0,139.0,124.0,94.4,139.0,19.0
legs1_departureAt_is_weekend,133.0,98.0,50.0,105.0,89.0,95.0,133.0,50.0
legs1_segments1_aircraft_code,101.0,92.0,91.0,96.0,102.0,96.4,102.0,91.0
legs0_departureAt_is_weekend,104.0,116.0,89.0,98.0,83.0,98.0,116.0,83.0
legs1_segments1_operatingCarrier_code,11.0,113.0,118.0,158.0,122.0,104.4,158.0,11.0
legs1_segments0_baggageAllowance_weightMeasurementType,81.0,157.0,151.0,42.0,119.0,110.0,157.0,42.0
legs0_segments0_marketingCarrier_code_in_ff,114.0,119.0,122.0,115.0,117.0,117.4,122.0,114.0
legs0_is_min_transfers,73.0,3.0,3.0,3.0,9999.0,2016.2,9999.0,3.0
legs0_segments1_marketingCarrier_code_in_ff,27.0,49.0,76.0,8.0,9999.0,2031.8,9999.0,8.0
legs1_is_min_transfers,148.0,10.0,23.0,5.0,9999.0,2037.0,9999.0,5.0
legs1_num_transfers_rank,154.0,15.0,27.0,2.0,9999.0,2039.4,9999.0,2.0
total_num_transfers,22.0,47.0,24.0,151.0,9999.0,2048.6,9999.0,22.0
miniRules1_percentage,34.0,17.0,121.0,126.0,9999.0,2059.4,9999.0,17.0
legs0_segments1_operatingCarrier_code_in_ff,58.0,125.0,46.0,136.0,9999.0,2072.8,9999.0,46.0
legs0_segments1_operatingCarrier_code,77.0,47.0,119.0,131.0,9999.0,2074.6,9999.0,47.0
legs1_segments1_operatingCarrier_code_in_ff,17.0,134.0,128.0,114.0,9999.0,2078.4,9999.0,17.0
legs1_segments1_cabinClass,140.0,26.0,140.0,130.0,9999.0,2087.0,9999.0,26.0
legs1_segments1_departureFrom_airport_iata,143.0,55.0,93.0,145.0,9999.0,2087.0,9999.0,55.0
legs1_segments1_arrivalTo_airport_city_iata,112.0,99.0,110.0,136.0,9999.0,2091.2,9999.0,99.0
legs0_segments2_flightNumber,126.0,135.0,157.0,47.0,9999.0,2092.8,9999.0,47.0
legs0_segments1_baggageAllowance_weightMeasurementType,143.0,37.0,154.0,136.0,9999.0,2093.8,9999.0,37.0
both_legs_direct,3.0,8.0,9999.0,9999.0,6.0,4003.0,9999.0,3.0
legs0_segments1_cabinClass,50.0,19.0,135.0,9999.0,9999.0,4040.4,9999.0,19.0
legs1_segments1_marketingCarrier_code_in_ff,6.0,86.0,149.0,9999.0,9999.0,4047.8,9999.0,6.0
legs1_segments2_baggageAllowance_quantity,22.0,162.0,9999.0,73.0,9999.0,4051.0,9999.0,22.0
miniRules0_percentage,38.0,114.0,9999.0,125.0,9999.0,4055.0,9999.0,38.0
legs0_segments2_duration,61.0,120.0,123.0,9999.0,9999.0,4060.4,9999.0,61.0
legs0_segments2_baggageAllowance_quantity,64.0,138.0,150.0,9999.0,9999.0,4070.0,9999.0,64.0
legs0_segments2_seatsAvailable,140.0,149.0,9999.0,76.0,9999.0,4072.6,9999.0,76.0
legs0_segments2_aircraft_code,126.0,121.0,9999.0,140.0,9999.0,4077.0,9999.0,121.0
legs1_segments2_departureFrom_airport_iata,9999.0,168.0,9999.0,59.0,9999.0,6044.8,9999.0,59.0
legs0_segments2_operatingCarrier_code,94.0,151.0,9999.0,9999.0,9999.0,6048.4,9999.0,94.0
legs0_segments2_departureFrom_airport_iata,107.0,142.0,9999.0,9999.0,9999.0,6049.2,9999.0,107.0
legs1_segments2_duration,9999.0,132.0,9999.0,148.0,9999.0,6055.4,9999.0,132.0
legs0_segments2_duration_rank,159.0,136.0,9999.0,9999.0,9999.0,6058.4,9999.0,136.0
legs0_segments2_arrivalTo_airport_iata,155.0,143.0,9999.0,9999.0,9999.0,6059.0,9999.0,143.0
legs0_segments2_arrivalTo_airport_city_iata,142.0,161.0,9999.0,9999.0,9999.0,6060.0,9999.0,142.0
legs1_segments2_marketingCarrier_code_in_ff,9999.0,9999.0,9999.0,25.0,9999.0,8004.2,9999.0,25.0
legs1_segments2_cabinClass,9999.0,9999.0,28.0,9999.0,9999.0,8004.8,9999.0,28.0
legs1_segments2_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,33.0,9999.0,8005.8,9999.0,33.0
legs1_segments2_arrivalTo_airport_city_iata,9999.0,9999.0,55.0,9999.0,9999.0,8010.2,9999.0,55.0
legs1_segments2_duration_rank,9999.0,9999.0,61.0,9999.0,9999.0,8011.4,9999.0,61.0
legs0_is_direct,9999.0,112.0,9999.0,9999.0,9999.0,8021.6,9999.0,112.0
legs0_segments2_marketingCarrier_code,9999.0,117.0,9999.0,9999.0,9999.0,8022.6,9999.0,117.0
legs1_segments2_operatingCarrier_code,9999.0,9999.0,133.0,9999.0,9999.0,8025.8,9999.0,133.0
legs0_segments2_marketingCarrier_code_in_ff,9999.0,138.0,9999.0,9999.0,9999.0,8026.8,9999.0,138.0
legs1_segments2_flightNumber,9999.0,162.0,9999.0,9999.0,9999.0,8031.6,9999.0,162.0
legs0_segments2_cabinClass,162.0,9999.0,9999.0,9999.0,9999.0,8031.6,9999.0,162.0
legs1_segments1_baggageAllowance_weightMeasurementType,9999.0,164.0,9999.0,9999.0,9999.0,8032.0,9999.0,164.0
legs1_segments2_aircraft_code,9999.0,166.0,9999.0,9999.0,9999.0,8032.4,9999.0,166.0
legs0_segments2_baggageAllowance_weightMeasurementType,9999.0,167.0,9999.0,9999.0,9999.0,8032.6,9999.0,167.0
legs0_segments3_duration_rank,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_duration,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_cabinClass,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_departureFrom_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_flightNumber,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_duration_rank,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_duration,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_departureFrom_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_cabinClass,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_baggageAllowance_weightMeasurementType,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_arrivalTo_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_arrivalTo_airport_city_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_aircraft_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments2_seatsAvailable,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_marketingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_flightNumber,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_aircraft_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_baggageAllowance_quantity,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_baggageAllowance_quantity,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_all_segments_carrier_same,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_operatingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_marketingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments2_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
bySelf,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_marketingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_num_transfers,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
pricingInfo_passengerCount,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_num_transfers,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_seatsAvailable,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
has_corporate_tariff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_is_direct,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_all_segments_carrier_same,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
is_round_trip,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_seatsAvailable,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_marketingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_operatingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments2_baggageAllowance_weightMeasurementType,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments2_arrivalTo_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_arrivalTo_airport_city_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_arrivalTo_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_baggageAllowance_weightMeasurementType,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments2_marketingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
