feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
legs1_arrivalAt_hour,13,37.0,30.0,8.0,22.0,37.0,8.0
baggage_total_rank,49,13.0,23.0,4.0,22.25,49.0,4.0
totalPrice_percentile_X_totalPrice_rank_normalized,22,22.0,17.0,29.0,22.5,29.0,17.0
miniRules1_monetaryAmount,11,27.0,38.0,21.0,24.25,38.0,11.0
price_from_median_zscore,15,23.0,26.0,34.0,24.5,34.0,15.0
legs1_segments0_flightNumber,54,33.0,16.0,0.0,25.75,54.0,0.0
totalPrice_smoothed_zscore_X_totalPrice_rank_normalized,20,25.0,31.0,30.0,26.5,31.0,20.0
totalPrice_relative_diff_X_total_duration_relative_diff,44,21.0,27.0,14.0,26.5,44.0,14.0
log_price_times_isVip,18,36.0,29.0,24.0,26.75,36.0,18.0
totalPrice_relative_diff_X_totalPrice_rank_normalized,31,28.0,23.0,25.0,26.75,31.0,23.0
duration_ratio,32,26.0,22.0,28.0,27.0,32.0,22.0
totalPrice_relative_diff,27,32.0,32.0,21.0,28.0,32.0,21.0
totalPrice_percentile_X_totalPrice_relative_diff,16,46.0,26.0,26.0,28.5,46.0,16.0
totalPrice_smoothed_zscore_X_totalPrice_relative_diff,30,27.0,28.0,31.0,29.0,31.0,27.0
totalPrice_sqrt_X_totalPrice_relative_diff,24,31.0,33.0,30.0,29.5,33.0,24.0
legs1_arrivalAt_day_period,23,28.0,52.0,15.0,29.5,52.0,15.0
total_duration_smoothed_zscore_X_total_duration_standardized,33,30.0,29.0,26.0,29.5,33.0,26.0
legs0_departureAt_day_period,58,29.0,18.0,14.0,29.75,58.0,14.0
total_fees,14,44.0,41.0,22.0,30.25,44.0,14.0
total_duration_rank,21,18.0,52.0,30.0,30.25,52.0,18.0
price_ratio_times_duration_ratio,23,24.0,34.0,41.0,30.5,41.0,23.0
totalPrice_percentile_X_totalPrice_sqrt,32,21.0,56.0,13.0,30.5,56.0,13.0
corporateTariffCode,16,34.0,32.0,44.0,31.5,44.0,16.0
ratio_max_times_isVip,25,35.0,25.0,55.0,35.0,55.0,25.0
legs1_segments0_operatingCarrier_code,40,20.0,21.0,60.0,35.25,60.0,20.0
total_duration_smoothed_zscore_X_total_duration_rank_normalized,37,34.0,36.0,35.0,35.5,37.0,34.0
log_price_dev_times_cabin,75,33.0,9.0,27.0,36.0,75.0,9.0
price_dev_times_cabin,12,26.0,51.0,55.0,36.0,55.0,12.0
is_popular_route,34,14.0,16.0,81.0,36.25,81.0,14.0
totalPrice_smoothed_zscore_X_totalPrice_standardized,34,35.0,41.0,38.0,37.0,41.0,34.0
legs0_segments0_operatingCarrier_code,24,57.0,37.0,34.0,38.0,57.0,24.0
total_duration,64,31.0,24.0,36.0,38.75,64.0,24.0
totalPrice_smoothed_zscore_X_totalPrice_sqrt,42,40.0,35.0,39.0,39.0,42.0,35.0
days_between_departure_arrival,56,39.0,40.0,23.0,39.5,56.0,23.0
totalPrice_percentile,83,22.0,22.0,35.0,40.5,83.0,22.0
legs1_mean_cabin,96,7.0,48.0,11.0,40.5,96.0,7.0
unmatched_duration_rank,19,32.0,35.0,76.0,40.5,76.0,19.0
log_duration_times_rank,36,36.0,38.0,56.0,41.5,56.0,36.0
totalPrice_sqrt_X_total_duration_sqrt,28,41.0,60.0,40.0,42.25,60.0,28.0
total_fees_rank,28,100.0,15.0,31.0,43.5,100.0,15.0
log_price_times_ratio,45,44.0,39.0,47.0,43.75,47.0,39.0
isAccess3D,7,11.0,13.0,146.0,44.25,146.0,7.0
totalPrice_sqrt_X_totalPrice_rank_normalized,30,50.0,47.0,51.0,44.5,51.0,30.0
price_minus_fee,41,39.0,53.0,45.0,44.5,53.0,39.0
total_duration_percentile_X_total_duration_rank_normalized,38,51.0,44.0,48.0,45.25,51.0,38.0
total_duration_rank_normalized,73,25.0,54.0,29.0,45.25,73.0,25.0
log_price,24,38.0,59.0,62.0,45.75,62.0,24.0
totalPrice_rank,65,45.0,40.0,37.0,46.75,65.0,37.0
legs0_segments0_aircraft_code,40,48.0,46.0,54.0,47.0,54.0,40.0
total_duration_relative_diff_X_total_duration_rank_normalized,55,42.0,43.0,50.0,47.5,55.0,42.0
taxes,26,55.0,51.0,60.0,48.0,60.0,26.0
searchRoute,25,61.0,64.0,42.0,48.0,64.0,25.0
legs0_departureAt_business_time,114,51.0,19.0,9.0,48.25,114.0,9.0
legs1_matched_duration_sum_rank,52,37.0,33.0,73.0,48.75,73.0,33.0
legs1_segments0_arrivalTo_airport_city_iata,39,70.0,47.0,42.0,49.5,70.0,39.0
totalPrice_smoothed_zscore_X_total_duration_smoothed_zscore,48,52.0,50.0,52.0,50.5,52.0,48.0
total_duration_standardized_X_total_duration_rank_normalized,32,65.0,62.0,43.0,50.5,65.0,32.0
total_duration_smoothed_zscore_X_total_duration_percentile,46,53.0,48.0,57.0,51.0,57.0,46.0
legs1_departureAt_business_time,27,22.0,61.0,95.0,51.25,95.0,22.0
total_duration_percentile_X_total_duration_sqrt,50,47.0,49.0,65.0,52.75,65.0,47.0
log_price_minus_group_mean,66,79.0,18.0,50.0,53.25,79.0,18.0
totalPrice_percentile_X_totalPrice_standardized,79,65.0,13.0,64.0,55.25,79.0,13.0
price_minus_group_mean,45,61.0,52.0,63.0,55.25,63.0,45.0
total_duration_percentile_X_total_duration_relative_diff,68,57.0,54.0,42.0,55.25,68.0,42.0
total_duration_smoothed_zscore_X_total_duration_sqrt,27,53.0,85.0,58.0,55.75,85.0,27.0
log_duration_minus_group_mean,61,7.0,69.0,87.0,56.0,87.0,7.0
legs0_departureAt_is_weekend,74,34.0,35.0,83.0,56.5,83.0,34.0
legs1_segments0_departureFrom_airport_iata,70,81.0,39.0,37.0,56.75,81.0,37.0
total_duration_relative_diff,41,93.0,17.0,76.0,56.75,93.0,17.0
totalPrice,103,47.0,54.0,24.0,57.0,103.0,24.0
legs1_segments0_seatsAvailable,94,68.0,45.0,21.0,57.0,94.0,21.0
legs0_segments0_departureFrom_airport_iata,69,49.0,59.0,52.0,57.25,69.0,49.0
legs0_matched_duration_sum_rank,35,55.0,56.0,85.0,57.75,85.0,35.0
price_ratio_group_mean,60,56.0,63.0,53.0,58.0,63.0,53.0
duration_ratio_group_mean,62,59.0,58.0,60.0,59.75,62.0,58.0
totalPrice_standardized_X_totalPrice_rank_normalized,65,82.0,46.0,47.0,60.0,82.0,46.0
totalPrice_standardized_X_total_duration_standardized,64,66.0,57.0,53.0,60.0,66.0,53.0
legs0_arrivalAt_day_period,98,77.0,42.0,23.0,60.0,98.0,23.0
tax_rate,73,60.0,64.0,46.0,60.75,73.0,46.0
log_duration_dev_times_cabin,58,17.0,70.0,99.0,61.0,99.0,17.0
legs1_duration_rank,41,72.0,73.0,66.0,63.0,73.0,41.0
log_duration_times_ratio,59,59.0,67.0,70.0,63.75,70.0,59.0
total_duration_sqrt_X_total_duration_rank_normalized,57,63.0,66.0,70.0,64.0,70.0,57.0
unmatched_duration,48,84.0,87.0,39.0,64.5,87.0,39.0
legs0_duration,25,112.0,58.0,63.0,64.5,112.0,25.0
total_duration_relative_diff_X_total_duration_standardized,83,55.0,66.0,56.0,65.0,83.0,55.0
totalPrice_standardized,69,74.0,71.0,47.0,65.25,74.0,47.0
total_duration_percentile_X_total_duration_standardized,68,69.0,65.0,59.0,65.25,69.0,59.0
duration_minus_group_mean,38,74.0,75.0,75.0,65.5,75.0,38.0
legs0_segments0_arrivalTo_airport_iata,66,79.0,74.0,43.0,65.5,79.0,43.0
duration_rank,80,58.0,76.0,55.0,67.25,80.0,55.0
legs0_segments0_marketingCarrier_code,22,46.0,39.0,162.0,67.25,162.0,22.0
total_duration_percentile,77,56.0,72.0,65.0,67.5,77.0,56.0
duration_dev_times_cabin,42,84.0,78.0,67.0,67.75,84.0,42.0
log_duration_times_isVip,68,125.0,48.0,33.0,68.5,125.0,33.0
total_duration_smoothed_zscore_X_total_duration_relative_diff,80,67.0,70.0,68.0,71.25,80.0,67.0
totalPrice_sqrt_X_totalPrice_standardized,83,74.0,72.0,57.0,71.5,83.0,57.0
legs1_segments0_aircraft_code,82,73.0,68.0,64.0,71.75,82.0,64.0
legs1_departureAt_is_weekend,61,24.0,101.0,106.0,73.0,106.0,24.0
total_duration_sqrt_X_total_duration_standardized,55,64.0,108.0,65.0,73.0,108.0,55.0
legs1_segments0_operatingCarrier_code_in_ff,183,54.0,25.0,33.0,73.75,183.0,25.0
miniRules0_statusInfos,50,20.0,55.0,170.0,73.75,170.0,20.0
total_duration_sqrt_X_total_duration_relative_diff,67,71.0,50.0,108.0,74.0,108.0,50.0
legs0_departureAt_weekday,88,67.0,64.0,83.0,75.5,88.0,64.0
nationality,46,90.0,53.0,115.0,76.0,115.0,46.0
totalPrice_relative_diff_X_totalPrice_standardized,71,85.0,93.0,57.0,76.5,93.0,57.0
legs1_arrivalAt_weekday,76,110.0,59.0,61.0,76.5,110.0,59.0
legs1_segments0_arrivalTo_airport_iata,104,41.0,43.0,126.0,78.5,126.0,41.0
total_duration_sqrt,74,49.0,31.0,161.0,78.75,161.0,31.0
legs0_arrivalAt_weekday,84,77.0,76.0,84.0,80.25,84.0,76.0
legs1_departureAt_weekday,80,89.0,86.0,67.0,80.5,89.0,67.0
totalPrice_smoothed_zscore,87,82.0,74.0,82.0,81.25,87.0,74.0
legs0_segments0_duration_rank,82,76.0,82.0,89.0,82.25,89.0,76.0
is_max_duration_cabin_same,14,164.0,113.0,43.0,83.5,164.0,14.0
legs0_matched_duration_sum,54,86.0,105.0,91.0,84.0,105.0,54.0
miniRules0_monetaryAmount,64,137.0,135.0,4.0,85.0,137.0,4.0
legs1_duration,38,134.0,69.0,100.0,85.25,134.0,38.0
price_rank,81,91.0,120.0,49.0,85.25,120.0,49.0
legs1_arrivalAt_business_time,45,105.0,117.0,77.0,86.0,117.0,45.0
legs1_segments0_duration,110,111.0,53.0,75.0,87.25,111.0,53.0
total_duration_standardized,106,85.0,78.0,81.0,87.5,106.0,78.0
legs0_segments0_arrivalTo_airport_city_iata,81,57.0,90.0,129.0,89.25,129.0,57.0
total_duration_smoothed_zscore,95,90.0,101.0,80.0,91.5,101.0,80.0
all_matched_duration_sum,86,50.0,125.0,107.0,92.0,125.0,50.0
legs0_duration_rank,107,101.0,100.0,70.0,94.5,107.0,70.0
legs0_segments1_duration_rank,33,164.0,168.0,19.0,96.0,168.0,19.0
totalPrice_sqrt,94,104.0,31.0,167.0,99.0,167.0,31.0
legs1_segments0_duration_rank,134,89.0,86.0,88.0,99.25,134.0,86.0
legs0_arrivalAt_business_time,125,94.0,84.0,96.0,99.75,125.0,84.0
legs0_segments0_duration,51,106.0,119.0,128.0,101.0,128.0,51.0
n_ff_programs,115,115.0,109.0,116.0,113.75,116.0,109.0
sex,135,123.0,122.0,98.0,119.5,135.0,98.0
legs1_segments1_flightNumber,140,150.0,38.0,159.0,121.75,159.0,38.0
legs0_segments1_baggageAllowance_quantity,59,180.0,74.0,180.0,123.25,180.0,59.0
legs1_arrivalAt_is_weekend,142,136.0,169.0,46.0,123.25,169.0,46.0
legs1_matched_duration_sum,147,122.0,124.0,108.0,125.25,147.0,108.0
has_frequentFlyer,31,183.0,183.0,128.0,131.25,183.0,31.0
is_legs0_legs1_cabin_same,145,127.0,137.0,122.0,132.75,145.0,122.0
legs0_segments1_flightNumber,89,151.0,151.0,158.0,137.25,158.0,89.0
legs0_segments1_duration,99,152.0,161.0,164.0,144.0,164.0,99.0
legs0_arrivalAt_is_weekend,168,172.0,58.0,179.0,144.25,179.0,58.0
legs0_segments1_marketingCarrier_code,43,183.0,187.0,175.0,147.0,187.0,43.0
legs0_segments0_baggageAllowance_weightMeasurementType,17,194.0,196.0,187.0,148.5,196.0,17.0
legs0_segments1_aircraft_code,130,154.0,154.0,185.0,155.75,185.0,130.0
legs1_segments1_duration,159,159.0,139.0,177.0,158.5,177.0,139.0
legs1_segments1_duration_rank,165,155.0,164.0,179.0,165.75,179.0,155.0
legs0_segments0_marketingCarrier_code_in_ff,20,3.0,10.0,9999.0,2508.0,9999.0,3.0
legs1_weighted_mean_cabin,6,30.0,16.0,9999.0,2512.75,9999.0,6.0
legs0_segments0_cabinClass,17,52.0,3.0,9999.0,2517.75,9999.0,3.0
legs1_max_duration_cabin,4,40.0,194.0,9999.0,2559.25,9999.0,4.0
legs0_segments1_arrivalTo_airport_city_iata,117,146.0,81.0,9999.0,2585.75,9999.0,81.0
legs0_segments1_seatsAvailable,137,171.0,185.0,9999.0,2623.0,9999.0,137.0
legs1_segments1_seatsAvailable,163,169.0,186.0,9999.0,2629.25,9999.0,163.0
legs1_segments0_cabinClass,63,9999.0,182.0,9999.0,5060.75,9999.0,63.0
is_cheapest,197,9999.0,9999.0,163.0,5089.5,9999.0,163.0
